id,name,artists,album,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,rating,playlist_type
6MSp1jexGF9TlEpzWM7Zuf,Ámame,Los Llayras,Clásicas De La Cumbia Andina,238335,55,0.346,0.709,0.598,0.0,2,0.0586,-7.247,0,0.0409,77.44,4,0.802,3,party
2VPwQuJfpro3mMVaZjMs9p,White Noice BR 8 khz,Granular,Vision,127741,48,0.979,0.0,2.02e-05,0.404,11,0.94,-25.772,0,0.0,0.0,0,0.0,3,focus
6GK0pEJsGdTb9cnXcTooib,Departing to the Stars,Oliva,Departure to the Stars,431013,45,0.477,0.195,0.445,0.114,2,0.105,-13.719,0,0.044,78.296,4,0.199,3,focus
4dGJf1SER1T6ooX46vwzRB,Chicken Fried,Zac Brown Band,The Foundation,238146,77,0.645,0.566,0.713,0.0,6,0.114,-4.25,1,0.0417,169.864,4,0.807,4,party
0jZxuq04x40gwFCCcg3J31,A Prominent Response,Piotr Miteska,A Prominent Response,173298,64,0.991,0.283,0.105,0.899,2,0.106,-21.941,0,0.0328,77.799,3,0.157,4,focus
4cq0zgDNcYj3auhiT6i7Cx,Beyond The Sun,Charles Bolt,Beyond The Sun,179565,56,0.994,0.415,0.0167,0.964,10,0.119,-26.521,1,0.0662,73.301,4,0.425,3,focus
5pEXKNDXvtfW0XE1YL4tZM,Limitation (Scaled Down Version),Vincent & A Secret,P.S. I'm Still Here,132509,13,0.992,0.541,0.09,0.961,3,0.112,-14.066,1,0.0935,69.404,1,0.479,1,focus
68vxG1i6RSmrsY9mRdqDgG,Burning,Maggie Rogers,Heard It In A Past Life,213173,69,0.21,0.735,0.688,3.11e-05,5,0.106,-5.471,1,0.104,110.045,4,0.282,4,party
3HUe6ev57i8TMIvpxxXYMu,Lagoon,goosetaf,Limbo,142222,38,0.881,0.669,0.363,0.639,6,0.314,-11.338,0,0.0994,81.008,4,0.301,2,focus
3MC9nswECDn5zuqkFQG1sB,Strength From Inside,Above & Beyond,Flow State,200786,52,0.857,0.171,0.189,0.959,5,0.169,-22.379,1,0.037,91.047,5,0.0572,3,focus
1GzeZBt9GXs9hAuopZGacR,Point Em Up,Kanine,Point Em Up,212571,54,0.004,0.636,0.958,1.17e-06,9,0.267,-1.975,1,0.422,174.759,4,0.395,3,workout
7iE1KCwyKPmfmNOxqSOODf,Public Enemy,Yellow Claw,New Blood,225624,62,1.48e-05,0.578,0.968,0.341,6,0.689,-2.078,0,0.0519,150.021,4,0.267,4,workout
4DOpCC46dXnMi7jXprBf8r,north shore,baechulgi,FUTURES Vol. 5,125425,51,0.851,0.675,0.302,0.854,5,0.103,-11.263,1,0.0972,82.313,4,0.315,3,focus
4QE7rcOeNErdz87pgSZ823,I Got You,Mike Williams,I Got You,176190,57,0.114,0.597,0.832,1.16e-06,5,0.7,-3.865,1,0.0782,126.069,4,0.374,3,sleep
5dKcpH68xBgZ4E5vkNzGqa,Oasis De Amor,Simba Musical,Cumbias Bailables,180200,50,0.102,0.72,0.897,0.0,4,0.098,-1.742,0,0.0674,89.176,4,0.808,3,party
1HL3yEnYq8LEyFQ3QegA5V,Crash into Me,Dave Matthews Band,Crash,316466,68,0.122,0.541,0.677,0.0191,4,0.0938,-10.764,1,0.0373,101.1,4,0.555,4,sleep
4FDjkgw75Lr0VEx5vOTGCk,Harder To Breathe,Maroon 5,Songs About Jane,173693,11,0.0525,0.661,0.905,0.0,1,0.0509,-4.739,0,0.0448,149.907,4,0.967,1,workout
5gWMxX3cHxV3amoBAIW8wO,Last Summers Love,Lilac,Last Summers Love,97839,56,0.79,0.691,0.118,0.855,7,0.553,-17.889,0,0.179,69.805,4,0.524,3,focus
7D2amqgFKzSPPEuvZT3i9p,Arms Length,Spurz,Loud Futures,151200,42,0.0348,0.162,0.369,0.777,1,0.414,-15.792,1,0.0408,103.99,3,0.111,3,focus
6nIE1oCE4udqMGv3bqVNVb,Half a Heart,One Direction,Midnight Memories (Deluxe),188546,68,0.286,0.515,0.714,0.0,0,0.118,-4.516,1,0.0348,155.954,4,0.495,4,sleep
2p07VcUwRZ5sru3mJ0JogS,Why Don't We Just Dance,Josh Turner,Haywire,192800,66,0.42,0.677,0.776,0.000689,5,0.0954,-5.933,1,0.0386,121.834,4,0.642,4,party
7l2CT1m2Fr9p5aQEYV6TEj,Lisa's waltz,Lisa Chong,Lisa's waltz,129812,63,0.988,0.466,0.0438,0.956,3,0.11,-22.705,1,0.0451,67.495,3,0.0812,4,focus
3XNqmhYrChOyqSZOy3flg7,Say What You Want To,All-4-One,Twenty+,209882,53,0.129,0.693,0.963,1.75e-06,5,0.147,-3.38,0,0.0815,155.069,4,0.96,3,workout
0IV0v2RIhevXsu9G0u82iP,Underbart,The 2 Inversions,Underbart,144104,54,0.985,0.188,0.139,0.768,10,0.104,-21.075,1,0.0415,101.173,4,0.0367,3,workout
7f1zjZG77S891Uv4O68yfk,Baby Sitter (feat. Offset),DaBaby,Baby On Baby,157693,83,0.0219,0.852,0.73,0.0,1,0.336,-5.803,1,0.0579,92.506,4,0.394,5,workout
3n3WBgFav1mo7Ccz1T3E0j,Ibiza Sunset,Eric Josef,Ibiza Sunset,168432,53,0.95,0.731,0.264,0.839,4,0.105,-12.795,0,0.0396,131.901,4,0.467,3,focus
6Bo7elbKiRfaHBMJGEBHqF,Since U Been Gone,Kelly Clarkson,Breakaway,188685,10,0.00175,0.664,0.741,0.0379,9,0.116,-5.318,0,0.0328,131.001,4,0.372,1,sleep
3TdZbELsPLWYZAArGSfwyQ,Back to Autumn,Tall Heights,"Holding On, Holding Out",199653,63,0.462,0.478,0.588,0.00109,8,0.069,-8.032,1,0.0304,110.918,4,0.341,4,sleep
3sb66av9ZpdI1JmPDHVa18,Space Oddity - 2009 Remastered Version,David Bowie,Space Oddity [Space Oddity 40th Anniversary Edition],317026,8,0.0788,0.337,0.365,3.84e-05,0,0.202,-15.091,1,0.0318,136.264,4,0.497,1,sleep
5Ficklh0cUTnHLmG9YyXBr,Te Falle: Cumbia Urbana del Pueblo y para el Pueblo,Los Yes Yes,Te Falle: Cumbia Urbana del Pueblo y para el Pueblo,215200,44,0.225,0.695,0.723,0.0131,5,0.0995,-7.254,0,0.0362,92.994,4,0.945,3,party
5DSr1NMci58MEgS20vivSL,Let's Get Lost (feat. Devon Baldwin),G-Eazy,These Things Happen,240680,65,0.103,0.671,0.672,3.98e-05,4,0.074,-9.188,0,0.12,117.96,4,0.186,4,sleep
0q1rGHsLzGNwzwxGrg99ji,Ride The Wave,The Oahus,Ride The Wave,171050,56,0.675,0.0684,0.108,0.873,2,0.119,-19.663,1,0.0348,60.002,4,0.0542,3,workout
3RauEVgRgj1IuWdJ9fDs70,The Man,Taylor Swift,Lover,190360,88,0.0767,0.777,0.658,0.0,0,0.0901,-5.191,1,0.054,110.048,4,0.633,5,party
42nSaPdT6g3ZIMHmKLlP2p,Let's Get Loud,Jennifer Lopez,On The 6,239400,70,0.135,0.82,0.937,0.000128,5,0.35,-4.81,0,0.0551,130.993,4,0.906,4,party
47yfbuX2JXVg0STjXEGAps,"The Chain - From the Motion Picture Soundtrack ""The Kitchen""",The Highwomen,"The Chain (From the Motion Picture Soundtrack ""The Kitchen"")",291533,58,0.0173,0.417,0.634,2.02e-05,9,0.113,-7.181,1,0.0482,152.651,4,0.321,3,party
4qUVntQ46fmejnJDlRlJpw,Natural Blues,Moby,Play & Play: The B Sides,253760,51,0.046,0.681,0.653,0.0513,3,0.276,-7.891,0,0.0328,107.988,4,0.656,3,party
4XoweSCBavG3VuIbsN4GNT,Astronaut (Something About Your Love),Mansionair,Astronaut (Something About Your Love),202694,5,0.225,0.731,0.59,0.00394,5,0.113,-7.661,0,0.0958,106.073,4,0.341,1,sleep
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future (Expanded Edition),269560,85,0.922,0.422,0.264,0.0,8,0.132,-7.064,1,0.0322,119.93,4,0.331,5,sleep
1UTdsgXAFqyJjEERtaVT8r,The Crab,J3PO,The Crab,165685,49,0.257,0.676,0.489,0.784,8,0.104,-9.89,1,0.111,92.029,4,0.546,3,focus
3lSDIJ2abCrOdDJ6pshUap,Close,Nick Jonas,Last Year Was Complicated,234213,72,0.253,0.653,0.623,0.0,6,0.144,-5.273,0,0.082,123.999,4,0.401,4,sleep
7jKxEGp0zXkwbFTWHHtsdC,Fall Apart Today,Schuyler Fisk,The Good Stuff,203760,55,0.851,0.416,0.295,0.0,10,0.156,-11.523,1,0.0302,108.211,3,0.522,3,sleep
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),231240,78,0.00882,0.613,0.622,0.0,1,0.37,-5.794,0,0.0334,80.003,4,0.484,4,party
1iPWXMClLL4AZtBuMD0lh3,OK - Ofenbach Remix,Robin Schulz,OK (The Remixes),184013,62,0.129,0.779,0.763,1.33e-06,7,0.244,-6.539,0,0.0464,123.012,4,0.503,4,workout
7tr2za8SQg2CI8EDgrdtNl,Slide,Calvin Harris,Funk Wav Bounces Vol.1,230813,70,0.498,0.736,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,0.511,4,party
2DcSehEocZhDogCJKCnXb3,Your Love Is King,Sade,Diamond Life,219426,61,0.559,0.742,0.422,4.14e-05,9,0.0402,-6.797,1,0.0309,134.624,3,0.592,4,party
3MhO0hNpWc2FQBLWuUKxxD,Peacefulness,Kent Paters,Peacefulness,192026,57,0.939,0.753,0.143,0.853,9,0.106,-16.401,0,0.0803,120.526,4,0.0875,3,focus
6eZVP2Demm1WupBpsfmxkx,Haku,Osoku,Koya,133000,53,0.441,0.598,0.339,0.842,10,0.164,-11.999,0,0.253,81.97,4,0.59,3,focus
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,268360,76,0.00832,0.64,0.864,0.0,7,0.123,-6.576,1,0.0315,102.026,4,0.7,4,sleep
55pNaqKviMlFxtBbqWCMqH,Guarda,Elliot Ziegler,Zéphyrine,98750,63,0.994,0.334,0.0471,0.966,10,0.107,-23.17,0,0.0496,136.455,4,0.313,4,focus
3w1lXjck7zcQaacezavnJw,Protected,Swørn,Escapade,79710,61,0.141,0.75,0.426,0.912,1,0.0999,-7.133,1,0.069,82.223,4,0.382,4,focus
5WvAo7DNuPRmk4APhdPzi8,No Brainer,DJ Khaled,No Brainer,260000,79,0.0733,0.552,0.76,0.0,0,0.0865,-4.706,1,0.342,135.702,5,0.639,4,workout
0fj8RFfbBdretXOILEjJks,Birma,Cantsleep,Birma,104463,55,0.731,0.505,0.223,0.857,5,0.131,-17.573,1,0.197,92.904,4,0.73,3,focus
4ponbmD53QAmxjHyXCHDFo,Improv #10 - One Last Thought,The Daydream Club,Piano Project,167000,62,0.994,0.452,0.0669,0.914,9,0.0966,-19.454,0,0.0388,74.852,1,0.197,4,focus
2JR05XLWCeqJRiNktJOlUR,Glivch,deadmau5,mau5ville: Level 3,315000,48,0.363,0.79,0.961,0.89,10,0.36,-6.551,0,0.0436,127.981,3,0.644,3,focus
6hBofveV7cUFOSuUB9RQjk,busking,_tag,busking,140714,63,0.495,0.622,0.0701,0.911,0,0.102,-13.016,1,0.0421,77.065,4,0.247,4,focus
6qiVgv4lsideE8c1Bxc867,Brown Sugar,The Rolling Stones,The Rolling Stones Singles Box Set (1971-2006),229040,5,0.212,0.635,0.925,0.000185,0,0.0857,-3.59,1,0.0343,128.611,4,0.966,1,party
72wEtgEkcLQ5x4F4ktiVSH,Pa' Mayté,Carlos Vives,La Tierra del Olvido,188720,60,0.0287,0.716,0.871,6.32e-06,0,0.117,-7.336,0,0.0606,123.851,4,0.967,3,party
6stYbAJgTszHAHZMPxWWCY,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",252003,10,0.167,0.761,0.829,0.0,0,0.189,-3.203,0,0.0681,92.033,4,0.813,1,party
76OcZrqKbSjdieuZANmhCC,Untitled #1,Alaskan Tapes,The Ocean No Longer Wants Us,501701,45,0.888,0.297,0.123,0.897,2,0.116,-24.713,1,0.0445,101.983,4,0.116,3,focus
6NvHOQG3jcIFkdMzv6XnVh,Footprints in the Sand,Eric Josef,Ibiza Sunset,166661,56,0.992,0.71,0.169,0.856,7,0.0944,-16.614,1,0.0466,99.987,4,0.392,3,focus
5rgrBsAFYMun6yhtnLKRPz,Right My Wrongs,Bryson Tiller,T R A P S O U L,249320,72,0.344,0.538,0.449,0.0,1,0.157,-8.078,1,0.0463,132.639,4,0.27,4,sleep
22yAPp1sMt6gFedAriy6MO,Meditation No #4,The Black Dog,Music For Adverts (And Short Films),221093,38,0.827,0.348,0.028,0.91,9,0.222,-22.661,0,0.0351,79.087,5,0.0754,2,focus
1GIYmwtBbPSHrqcSaukZck,Heat (feat. Gunna),Chris Brown,Indigo,232733,75,0.0607,0.62,0.613,0.0,0,0.117,-5.83,1,0.0795,82.43,4,0.483,4,sleep
1iaLcGW8ffLMPFSLSGn0Zs,Symphony,Sick Individuals,Symphony,202148,63,0.0374,0.612,0.888,6.95e-05,3,0.123,-3.796,1,0.0603,127.92,4,0.189,4,workout
4gsmKBuKH7VtrJMvWIXcVa,World At Our Feet - Deorro Remix,Timmy Trumpet,World At Our Feet (Deorro Remix),214621,58,0.00168,0.638,0.811,0.002,6,0.564,-5.081,0,0.0531,138.032,4,0.082,3,workout
43CL49bukqUMNxontuQtR2,Zumba,Don Omar,Don Omar Presents MTO2: New Generation,263973,58,0.00205,0.729,0.894,0.021,5,0.128,-3.494,1,0.0397,124.992,4,0.832,3,workout
3gdzlgb4n0pAqICKWypOX4,Glitches - Yvvan Back Remix Edit,Croatia Squad,Glitches - The Remixes,202500,51,0.00161,0.696,0.962,0.854,2,0.311,-3.945,1,0.0497,125.968,4,0.887,3,party
4EuMvbj0nMnHie3UTb2uze,Fear and Force,Boreal Monkey,BM,207709,52,0.913,0.688,0.262,0.861,9,0.116,-19.57,0,0.052,140.066,4,0.551,3,focus
005JfkAhvs05PiQLUb2Iuf,I Got You,Train,"Save Me, San Francisco",227466,2,0.0168,0.639,0.903,0.0,7,0.356,-2.153,1,0.0932,80.044,4,0.659,1,workout
3OJ4LEE50iFELaHiZ09zif,Purple Emoji (feat. J. Cole),Ty Dolla $ign,Purple Emoji (feat. J. Cole),163754,75,0.151,0.707,0.543,0.0,8,0.384,-4.61,1,0.279,144.18,4,0.824,4,sleep
1xol3obsRnpAFQkABF3pTs,Knockin' On Heaven's Door,Bob Dylan,PAT GARRETT & BILLY THE KID Original Soundtrack Recording,149933,5,0.16,0.513,0.447,0.187,7,0.0626,-12.471,1,0.0296,140.015,4,0.267,1,party
1BltsyC5W3SAABdxyrDXwi,Latch,Disclosure,Settle,255631,25,0.0159,0.503,0.727,9.45e-05,1,0.0895,-5.456,1,0.167,121.985,4,0.521,2,party
0Mxbqp1DtNsAxo5Nthsqnr,It's Real Love,Yellow Days,It's Real Love,226213,53,0.487,0.566,0.49,0.0,3,0.106,-6.534,0,0.0397,137.888,4,0.331,3,sleep
4kebaMUJlFbzPacKwcAGLZ,Cherry Pie Jam,Hollow Clouds,Cherry Pie Jam,217096,59,0.00256,0.663,0.69,0.606,6,0.171,-7.158,0,0.062,79.969,4,0.357,3,focus
4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,Plain White T's,All That We Needed,232533,80,0.872,0.657,0.291,0.0,2,0.114,-10.572,1,0.0293,103.973,4,0.298,4,sleep
630Ug0XtmhhFvAKo0PNuEI,Remember Me,UMI,Remember Me,199226,72,0.456,0.84,0.344,3.36e-05,5,0.35,-8.613,0,0.0374,111.994,4,0.526,4,sleep
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,No Strings Attached,200400,72,0.031,0.61,0.926,0.0012,8,0.0821,-4.843,0,0.0479,172.638,4,0.861,4,sleep
5EbX5xL3O2xT8FxCpYzgUO,"How Far I'll Go - From ""Moana""",Alessia Cara,"How Far I'll Go (From ""Moana"")",175517,71,0.173,0.315,0.563,0.000242,9,0.0673,-9.671,1,0.354,179.484,4,0.147,4,workout
74PHS8w06Hu5pwa7rB2mF9,Multidimensional,"Sarah, the Illstrumentalist",All The Feels,150500,59,0.186,0.835,0.453,0.229,5,0.139,-6.316,0,0.0543,92.999,4,0.601,3,focus
1GZH9Sv6zCIse2GKihRHKy,Summer Girl,HAIM,Summer Girl,205026,64,0.356,0.512,0.544,0.0159,1,0.169,-7.953,0,0.226,99.927,4,0.616,4,sleep
2uiAa5m82aeHbtOFA3x58m,Aftermath,Kydus,Aftermath,247983,49,0.054,0.686,0.778,0.925,0,0.0671,-10.392,1,0.0468,124.005,4,0.039,3,sleep
1VierzHfJLlQhoYM5YlR0M,Together As One - Radio Edit,Dropgun,Together As One,174257,53,0.099,0.409,0.979,0.00291,5,0.128,-1.508,0,0.0501,127.609,4,0.582,3,party
1bHXbuM7CqRCSn5Zg1knnZ,Bergamo,Renato Luigi,Bergamo,126888,65,0.991,0.265,0.0365,0.926,0,0.0872,-24.41,1,0.0501,69.552,4,0.168,4,focus
4Vk4Yf7pDmB1dxLFSTjBUH,101 FM,Little Simz,GREY Area,191392,60,0.399,0.79,0.547,0.000371,6,0.114,-9.515,1,0.048,142.024,4,0.969,3,sleep
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,Ritual,198995,86,0.157,0.647,0.726,0.0,3,0.0844,-4.389,0,0.0552,114.996,4,0.767,5,party
5L95vS64rG1YMIFm1hLjyZ,Rollercoaster,Bleachers,Strange Desire,188866,64,0.00205,0.421,0.79,0.000309,10,0.148,-6.227,1,0.0538,162.024,4,0.279,4,workout
7D8oYi6Cnb0eSWXvlZuV6D,I Don't Belong In This Club - Breathe Carolina Remix,Why Don't We,I Don't Belong In This Club (Breathe Carolina Remix),262016,52,0.00772,0.728,0.874,0.0,11,0.366,-5.115,1,0.107,123.947,4,0.561,3,party
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remastered),146250,78,0.013,0.564,0.932,0.169,11,0.349,-10.068,1,0.0554,112.937,4,0.619,4,workout
